Account ID,Account Name,Account Code,Description,Account Type,Mileage Rate,Mileage Unit,IsMileage,Account # ,Account Status,Currency,Parent Account
5827744000000134047,Income - YC F24 Orange Fund #1,4103-002-001,,Income,0.000,,false,,Active,USD,Income - YC F24 Orange Fund
5827744000000134053,Income - YC F24 Orange Fund #2,4103-002-002,,Income,0.000,,false,,Active,USD,Income - YC F24 Orange Fund
5827744000000134139,Income - SpaceX,4103-006,,Income,0.000,,false,,Active,USD,Income - Investments
5827744000000134145,Income - SpaceX #1,4103-006-001,,Income,0.000,,false,,Active,USD,Income - SpaceX
5827744000000135201,Income - Debt Securities,4104-000,,Income,0.000,,false,,Active,USD,
5827744000000135211,Income - Real Estate,4105-000,,Income,0.000,,false,,Active,USD,
5827744000000135241,Unrealized Gain - Equities,4201-000,,Income,0.000,,false,,Active,USD,
5827744000000135265,Income - Equity Securities Baskets,4102-000,,Income,0.000,,false,,Active,USD,
5827744000000139241,Income - Equity Securities Baskets - Buy Write ETFs,4102-002,,Income,0.000,,false,,Active,USD,Income - Equity Securities Baskets
5827744000000135287,Unrealized Gain - Investments,4203-000,,Income,0.000,,false,,Active,USD,
5827744000000102021,Unrealized Linqto Gains - DNU,4011-000,,Income,0.000,,false,,Active,USD,Unrealized Gain - Investments
5827744000000135313,Unrealized Gain - Investments - Anthropic,4203-003,,Income,0.000,,false,,Active,USD,Unrealized Gain - Investments
5827744000000135327,Unrealized Gain - Investments - Anthropic - #1,4203-003-001,,Income,0.000,,false,,Active,USD,Unrealized Gain - Investments - Anthropic
5827744000000135407,Unrealized Gain - Investments - Databricks,4203-005,,Income,0.000,,false,,Active,USD,Unrealized Gain - Investments
5827744000000135413,Unrealized Gain - Investments - Databricks - #1,4203-005-001,,Income,0.000,,false,,Active,USD,Unrealized Gain - Investments - Databricks
5827744000000135293,Unrealized Gain - Debt Securities,4204-000,,Income,0.000,,false,,Active,USD,
5827744000000135299,Unrealized Gain - Real Estate,4205-000,,Income,0.000,,false,,Active,USD,
5827744000000135741,Equity Baskets,1102-000,,Other Current Asset,0.000,,false,,Active,USD,
5827744000000090550,Trading Securities - Water Basket,1102-001,,Other Current Asset,0.000,,false,,Active,USD,Equity Baskets
5827744000000090556,Consolidated Water Co. Ltd. (CWCO),1102-001-004,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Water Basket
5827744000000090654,Alico Inc. (ALCO),1102-001-011,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Water Basket
5827744000000090660,American Water Works Company Inc (AWK),1102-001-003,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Water Basket
5827744000000090666,California Water Service Group (CWT),1102-001-008,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Water Basket
5827744000000090672,Ecolab Inc. (ECL),1102-001-005,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Water Basket
5827744000000090678,Farmland Partners Inc. (FPI),1102-001-002,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Water Basket
5827744000000090684,Ferguson Enterprises Inc. (FERG),1102-001-009,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Water Basket
5827744000000090690,Gladstone Land Corp (LAND),1102-001-001,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Water Basket
5827744000000090696,Global Water Res Inc (GWRS),1102-001-012,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Water Basket
5827744000000090702,iShares MSCI Agriculture (VEGI),1102-001-007,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Water Basket
5827744000000090708,Waters Corp (WAT),1102-001-010,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Water Basket
5827744000000090714,Xylem Inc. (XYL),1102-001-006,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Water Basket
5827744000000095183,Trading Securities - Water Basket - FMV Adjustment,1102-001-999,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Water Basket
5827744000000136639,Trading Securities - Buy Write ETFs,1102-002,,Other Current Asset,0.000,,false,,Active,USD,Equity Baskets
5827744000000136647,JPMorgan Equity Premium Income ETF (JEPI),1102-002-001,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Buy Write ETFs
5827744000000136655,Global X NASDAQ 100 Covered Call ETF (QYLD),1102-002-002,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Buy Write ETFs
5827744000000136663,Neos S&P 500 High Income ETF (SPYI),1102-002-003,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Buy Write ETFs
5827744000000136671,iShares 20+ Year Treasury Bond ETF (TLTW),1102-002-004,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Buy Write ETFs
5827744000000136679,Global X S&P 500 Covered Call ETF (XYLD),1102-002-005,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Buy Write ETFs
5827744000000136687,Global X Russell 2000 Covered Call ETF (RYLD),1102-002-006,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Buy Write ETFs
5827744000000136695,Columbia Multi-Sector Municipal Income ETF (MUST),1102-002-007,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Buy Write ETFs
5827744000000136703,Trading Securities - Buy-Write ETFs - FMV Adjustment,1102-002-999,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Buy Write ETFs
5827744000000136711,Trading Securities - Holding Companies,1102-003,,Other Current Asset,0.000,,false,,Active,USD,Equity Baskets
5827744000000136719,Apollo Global Management Inc. (APO),1102-003-001,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Holding Companies
5827744000000136727,Berkshire Hathaway Inc. Class B (BRKB),1102-003-002,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Holding Companies
5827744000000136735,Blackstone Inc. (BX),1102-003-003,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Holding Companies
5827744000000136743,KKR & Co Inc. (KKR),1102-003-004,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Holding Companies
5827744000000136751,Loews Corp (L),1102-003-005,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Holding Companies
5827744000000136759,TPG Inc. Class A (TPG),1102-003-006,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Holding Companies
5827744000000136767,Trading Securities - Holding Companies - FMV Adjustment,1102-003-999,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Holding Companies
5827744000000136775,Trading Securities - Balanced ETFs,1102-004,,Other Current Asset,0.000,,false,,Active,USD,Equity Baskets
5827744000000136783,Fidelity Emerging Markets Multifactor ETF (FDEM),1102-004-001,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Balanced ETFs
5827744000000136791,Fidelity Developed Markets Multifactor ETF (FDEV),1102-004-002,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Balanced ETFs
5827744000000136799,Fidelity Enhanced Large Cap Core ETF (FELC),1102-004-003,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Balanced ETFs
5827744000000136807,Fidelity Enhanced Small Cap ETF (FESM),1102-004-004,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Balanced ETFs
5827744000000136815,Fidelity Momentum Factor ETF (FMDE),1102-004-005,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Balanced ETFs
5827744000000136823,Fidelity Nasdaq Composite Index ETF (ONEQ),1102-004-006,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Balanced ETFs
5827744000000136831,Trading Securities - Balanced ETFs - FMV Adjustment,1102-004-999,,Other Current Asset,0.000,,false,,Active,USD,Trading Securities - Balanced ETFs
